Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190125_7_12,500,12,4.06,51.376,0.007,3.422,3.973,0.264,0.256,0.029,0.314,0.639,1.014,4.028,-0.145,4.658
190125_7_13,500,13,4.924,39.684,0.022,5.226,4.002,0.507,0.317,0.049,0.302,0.645,1.016,4.845,-0.149,0.256
190125_7_14,500,14,16.581,26.402,0.05,9.285,3.908,0.402,0.324,0.348,0.296,0.652,1.003,16.57,-0.143,3.261
190125_7_15,500,15,23.587,13.838,0.116,10.574,3.641,0.458,0.078,0.031,0.295,0.574,1.923,23.428,-0.141,0.095
190125_7_16,500,16,18.65,11.479,0.103,10.998,4.072,0.558,0.146,0.053,0.312,0.624,1.541,18.541,-0.148,0.082
190125_7_17,500,17,11.677,11.068,0.062,7.33,3.888,0.727,0.201,0.06,0.272,0.625,1.231,11.795,-0.138,0.079
190125_7_18,500,18,9.448,10.556,0.063,13.809,4.355,0.777,0.256,0.101,0.278,0.637,3.763,9.463,-0.129,0.548
190125_7_19,500,19,8.248,10.709,0.058,11.822,4.285,0.871,0.269,0.218,0.273,0.63,2.879,8.401,-0.14,0.113
190125_7_20,500,20,6.807,13.53,0.068,10.913,3.988,0.693,0.201,0.181,0.261,0.631,1.759,6.705,-0.132,0.139
190125_7_21,500,21,4.998,21.222,0.059,8.164,3.757,0.677,0.194,0.67,0.24,0.597,1.226,5.124,-0.145,0.057
190125_7_22,500,22,4.141,52.145,0.072,8.695,3.738,0.551,0.16,0.192,0.23,0.646,1.157,4.098,-0.145,0.341
190125_7_23,500,23,6.217,48.35,0.06,2.759,3.657,0.379,37.817,0.192,0.214,0.626,1.095,6.285,-0.138,0.162
190125_7_24,500,24,2.801,32.504,0.04,2.643,2.918,0.181,0.221,0.295,0.189,0.599,0.915,2.879,-0.151,0.166
190125_7_25,500,25,2.519,19.53,0.031,2.826,3.632,0.186,0.263,0.481,0.163,0.625,1.098,2.535,-0.135,0.367
190125_7_26,500,26,2.318,19.889,0.022,2.416,4.041,0.163,0.221,0.503,0.255,0.609,1.126,2.331,-0.148,0.067
