Sample_ID,AE Fraction,SE Fraction,75As,27Al,47Ti,48Ti,51V,52Cr,55Mn,56Fe,57Fe,59Co,60Ni,63Cu,66Zn,95Mo,111Cd,208Pb
210929_IC_SEC_150to200_4,200,4,0.0,2.5,0.2,1.1,0.3,0.2,0.5,1.6,1.2,0.0,1.8,0.1,0.6,0.2,0.0,0.0
210929_IC_SEC_150to200_5,200,5,0.0,2.8,0.2,0.8,0.3,0.2,0.6,2.5,2.2,0.0,1.7,0.1,0.6,0.2,0.0,0.2
210929_IC_SEC_150to200_6,200,6,0.0,6.3,0.1,0.6,0.3,0.2,0.5,1.4,1.1,0.0,1.6,0.1,0.4,0.2,0.0,0.0
210929_IC_SEC_150to200_7,200,7,0.0,2.1,0.2,0.7,0.3,0.2,0.5,1.4,1.0,0.0,1.6,0.1,0.5,0.2,0.0,0.0
210929_IC_SEC_150to200_8,200,8,0.0,2.1,0.2,0.6,0.2,0.2,0.5,1.4,1.0,0.0,1.6,0.1,1.1,0.2,0.0,0.0
210929_IC_SEC_150to200_9,200,9,0.0,3.2,0.3,1.0,0.3,0.3,0.8,2.2,1.8,0.0,3.0,0.2,0.7,0.4,0.0,0.0
210929_IC_SEC_150to200_10,200,10,0.0,3.6,0.3,1.1,0.3,0.3,0.9,2.4,2.0,0.0,3.1,0.3,0.8,0.6,0.0,0.0
210929_IC_SEC_150to200_11,200,11,0.0,3.3,0.3,1.4,0.3,0.3,0.9,2.2,1.8,0.0,3.3,0.2,0.9,0.4,0.0,0.0
210929_IC_SEC_150to200_12,200,12,0.0,3.3,0.4,2.2,0.3,0.3,0.9,2.4,2.1,0.0,3.2,0.2,1.2,0.4,0.0,0.0
210929_IC_SEC_150to200_13,200,13,0.0,3.2,0.4,1.5,0.3,0.3,0.8,2.2,1.8,0.0,2.8,0.2,0.9,0.4,0.0,0.0
210929_IC_SEC_150to200_14,200,14,0.0,3.2,0.3,1.3,0.3,0.3,0.8,2.3,2.0,0.0,2.8,0.2,0.9,0.4,0.0,0.0
