Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190121_7_24,500,24,-0.1582,-4.8218,0.0309,1.2365,0.1208,0.0715,-0.4554,-0.3437,-0.4278,-0.1906,0.0502,0.0065,-0.0107,0.0193
190121_7_25,500,25,-0.3037,-5.3713,0.0221,1.0273,0.2568,0.0495,-0.4701,-0.3407,-0.4363,-0.2166,0.0575,0.0043,-0.0105,0.0183
190121_7_26,500,26,-0.3739,-5.8825,0.0181,0.6198,0.3209,0.0427,-0.4162,-1.2634,-0.4637,-0.2124,0.0489,0.0029,-0.0109,0.0168
190121_7_27,500,27,-0.4799,-6.1122,0.0107,0.4178,0.1721,0.0325,-0.4775,-1.2108,-0.4603,-0.2092,0.0364,0.0011,-0.0102,0.012
190121_7_28,500,28,-0.5591,-5.9973,0.0077,0.3386,0.0775,0.0259,-0.4996,-1.2864,-0.4519,-0.2631,0.0303,-0.0003,-0.0075,0.0093
190121_7_29,500,29,-0.6493,-5.8991,0.004,0.2044,0.0011,0.0158,-0.4897,-1.2364,-0.4677,-0.2793,0.0279,-0.0013,-0.0072,0.0083
190121_7_30,500,30,-0.6292,-6.1056,0.0038,0.226,0.0053,0.0381,-0.4628,-1.2608,-0.4554,-0.2363,0.0274,-0.001,-0.009,0.0088
190121_7_31,500,31,-0.618,-6.0523,0.0029,0.3668,0.0008,0.0174,-0.4848,-1.2736,-0.4439,-0.2219,0.0274,-0.0006,-0.0098,0.012
190121_7_32,500,32,-0.6311,-5.8725,0.0018,0.0935,-0.0096,0.0149,-0.502,-1.283,-0.4456,-0.2509,0.0249,-0.0009,-0.0103,0.0075
190121_7_33,500,33,-0.7102,-5.9124,0.0014,0.0917,-0.0321,0.0153,-0.5216,-1.3078,-0.4503,-0.2358,0.0246,-0.0025,-0.0109,0.0088
190121_7_34,500,34,-0.718,-6.0423,0.001,0.3446,-0.0545,0.0081,-0.5437,-1.2215,-0.4436,-0.2593,0.0246,-0.0027,-0.0106,0.0077
190121_7_35,500,35,-0.641,-6.1222,0.0015,0.8367,-0.066,0.0193,-0.4946,0.0791,-0.443,-0.2384,0.0369,-0.0006,-0.0109,0.0092
190121_7_36,500,36,-0.6994,-6.0057,0.0007,0.5035,-0.0572,0.0348,-0.4431,-0.469,-0.4539,-0.2422,0.0309,-0.0021,-0.0111,0.0093
190121_7_37,500,37,-0.6676,-6.2321,0.0005,0.6911,-0.0478,0.0248,-0.4628,0.05,-0.4428,-0.2351,0.0367,-0.0013,-0.0109,0.0088
190121_7_38,500,38,-0.7314,-6.1822,0.0002,-0.0222,-0.0307,0.006,-0.4848,-1.3249,-0.4585,-0.2377,0.0224,-0.0027,-0.0105,0.0084
